date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,exchange,pair,timeframe,date_downloaded
2017-08-27 12:00:00,4340.0,4340.0,4285.54,4325.0,35.28,4301.53,4279.28,4152.87,4228.23,,4271.51,4305.3,4261.18,44.12,49.12,49.44,4301.53,46.57,4394.67,4208.4,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-27 16:00:00,4290.01,4386.78,4290.01,4368.41,72.11,4309.86,4287.77,4161.09,4233.73,,4272.47,4315.01,4269.12,45.88,48.47,50.96,4309.86,42.54,4394.93,4224.78,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-27 20:00:00,4336.12,4386.79,4309.6,4310.01,75.71,4314.26,4289.89,4167.85,4236.72,,4272.85,4314.24,4272.15,42.09,47.19,39.36,4314.26,37.19,4388.63,4239.88,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 00:00:00,4310.01,4330.36,4239.36,4239.37,73.3,4315.42,4285.08,4171.11,4236.83,,4272.51,4302.72,4269.72,33.0,44.35,41.08,4315.42,34.19,4383.81,4247.03,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 04:00:00,4239.36,4297.11,4124.54,4261.9,94.4,4312.72,4282.87,4173.55,4237.81,,4272.41,4296.44,4269.14,27.3,40.94,47.5,4312.72,36.22,4385.16,4240.27,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 08:00:00,4261.9,4365.4,4226.93,4308.0,121.72,4312.48,4285.26,4177.82,4240.56,,4272.76,4298.22,4272.02,26.2,37.99,51.24,4312.48,36.24,4384.96,4240.0,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 12:00:00,4309.0,4347.0,4271.03,4273.59,121.86,4309.71,4284.15,4180.17,4241.86,,4272.77,4294.43,4272.14,22.29,34.85,44.48,4309.71,37.02,4383.75,4235.67,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 16:00:00,4317.2,4370.45,4273.59,4321.65,107.23,4307.73,4287.72,4184.48,4244.99,,4273.26,4298.62,4275.81,22.81,32.44,53.79,4307.73,35.13,4377.98,4237.47,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-28 20:00:00,4321.65,4399.82,4290.18,4386.69,85.34,4307.35,4297.15,4189.71,4250.54,,4274.39,4312.17,4284.02,28.15,31.58,61.5,4307.35,34.16,4375.67,4239.02,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 00:00:00,4353.65,4386.69,4314.35,4376.99,78.86,4310.84,4304.75,4193.96,4255.5,,4275.41,4322.14,4290.91,31.23,31.51,58.75,4310.84,37.54,4385.92,4235.75,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 04:00:00,4363.48,4404.07,4313.55,4329.02,128.46,4313.25,4307.06,4198.81,4258.39,,4275.94,4323.2,4293.73,29.47,31.11,49.12,4313.25,37.05,4387.36,4239.15,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 08:00:00,4328.12,4417.61,4328.12,4368.5,88.05,4316.78,4312.91,4204.49,4262.7,,4276.86,4330.17,4299.27,30.9,31.06,55.38,4316.78,38.83,4394.45,4239.12,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 12:00:00,4368.5,4625.85,4347.59,4570.0,128.76,4329.3,4337.4,4215.01,4274.75,,4279.78,4367.06,4319.32,47.74,34.4,68.34,4329.3,68.68,4466.66,4191.93,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 16:00:00,4569.65,4584.0,4496.95,4555.55,127.21,4342.64,4358.18,4225.66,4285.77,,4282.52,4396.06,4336.82,59.24,39.37,66.51,4342.64,84.48,4511.61,4173.67,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-29 20:00:00,4540.0,4624.99,4535.09,4587.48,52.2,4358.26,4380.01,4236.97,4297.6,,4285.56,4425.51,4355.39,70.12,45.52,67.89,4358.26,98.97,4556.2,4160.32,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 00:00:00,4564.52,4619.99,4527.45,4583.61,119.43,4372.77,4399.4,4248.1,4308.81,,4288.52,4449.83,4372.29,77.54,51.92,65.5,4372.77,109.66,4592.09,4153.44,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 04:00:00,4600.0,4647.51,4550.01,4550.02,149.55,4383.4,4413.75,4258.78,4318.27,,4291.12,4465.25,4385.46,79.79,57.5,67.93,4383.4,116.17,4615.73,4151.06,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 08:00:00,4550.0,4597.0,4416.01,4498.35,176.15,4392.57,4421.81,4271.5,4325.34,,4293.19,4470.34,4393.82,76.52,61.3,69.91,4392.57,117.71,4627.98,4157.15,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 12:00:00,4537.0,4592.76,4416.16,4546.77,163.01,4404.21,4433.71,4286.48,4334.02,,4295.71,4482.1,4405.15,76.95,64.43,71.06,4404.21,120.98,4646.18,4162.24,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 16:00:00,4555.0,4609.92,4532.8,4536.82,84.85,4414.89,4443.53,4299.88,4341.97,,4298.11,4490.52,4414.9,75.61,66.67,67.88,4414.89,122.88,4660.64,4169.13,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-30 20:00:00,4536.82,4579.91,4516.87,4555.14,115.48,4426.39,4454.16,4313.82,4350.33,,4300.67,4500.46,4425.29,75.17,68.37,72.56,4426.39,124.78,4675.95,4176.84,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 00:00:00,4555.14,4606.0,4555.14,4593.66,109.65,4437.66,4467.44,4326.01,4359.87,,4303.58,4514.8,4437.76,77.03,70.1,72.14,4437.66,129.35,4696.36,4178.95,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 04:00:00,4596.54,4628.12,4572.64,4592.16,103.0,4451.76,4479.32,4337.05,4368.98,,4306.45,4526.7,4449.2,77.5,71.58,68.65,4451.76,130.08,4711.92,4191.6,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 08:00:00,4603.58,4678.57,4572.64,4656.67,111.87,4472.63,4496.21,4348.18,4380.26,,4309.94,4546.7,4464.57,82.13,73.69,73.09,4472.63,127.66,4727.96,4217.3,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 12:00:00,4674.97,4685.55,4631.41,4648.82,107.0,4491.97,4510.75,4359.66,4390.8,,4313.31,4562.41,4478.22,84.19,75.79,78.27,4491.97,123.29,4738.56,4245.39,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 16:00:00,4648.82,4745.42,4638.98,4698.77,66.8,4511.51,4528.65,4368.87,4402.87,,4317.15,4583.39,4494.55,88.83,78.4,78.67,4511.51,123.57,4758.64,4264.38,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-31 20:00:00,4688.47,4724.89,4666.84,4724.89,58.63,4534.08,4547.34,4379.43,4415.5,,4321.2,4605.16,4511.62,93.54,81.43,69.33,4534.08,118.95,4771.98,4296.17,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 00:00:00,4689.89,4767.0,4689.89,4714.73,75.65,4553.73,4563.28,4391.38,4427.24,,4325.12,4622.01,4526.66,95.35,84.21,70.08,4553.73,114.39,4782.52,4324.95,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 04:00:00,4714.73,4734.99,4654.88,4707.5,101.23,4569.77,4577.02,4403.25,4438.23,,4328.92,4635.16,4540.06,95.11,86.39,66.15,4569.77,112.21,4794.19,4345.36,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 08:00:00,4715.0,4798.46,4708.09,4775.0,130.97,4589.67,4595.87,4416.48,4451.43,,4333.36,4656.68,4557.46,99.22,88.96,71.98,4589.67,111.51,4812.69,4366.65,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 12:00:00,4775.0,4839.92,4725.81,4803.83,68.89,4613.41,4615.68,4429.49,4465.25,,4338.04,4679.32,4575.71,103.61,91.89,79.48,4613.41,103.34,4820.09,4406.73,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 16:00:00,4756.46,4815.67,4738.94,4813.24,96.95,4635.65,4634.49,4441.72,4478.9,,4342.77,4699.92,4593.3,106.62,94.83,90.55,4635.65,95.41,4826.47,4444.83,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-01 20:00:00,4808.79,4885.55,4760.01,4834.91,86.99,4648.9,4653.58,4453.97,4492.86,,4347.67,4720.69,4611.2,109.49,97.76,89.85,4648.9,103.83,4856.56,4441.23,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 00:00:00,4796.16,4939.19,4764.88,4788.07,145.54,4660.52,4666.39,4465.41,4504.44,,4352.05,4731.05,4624.3,106.75,99.56,81.53,4660.52,105.83,4872.18,4448.86,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 04:00:00,4765.01,4814.49,4473.35,4697.71,178.77,4666.03,4669.37,4473.05,4512.02,,4355.49,4725.92,4629.74,96.18,98.89,65.15,4666.03,104.69,4875.41,4456.65,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 08:00:00,4701.02,4709.4,4549.77,4630.01,142.24,4668.35,4665.62,4479.4,4516.64,,4358.22,4711.17,4629.76,81.41,95.39,53.64,4668.35,103.27,4874.9,4461.81,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 12:00:00,4669.75,4675.0,4354.61,4460.19,187.3,4663.86,4646.06,4482.02,4514.43,,4359.24,4672.56,4617.2,55.36,87.38,40.12,4663.86,110.4,4884.66,4443.07,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 16:00:00,4465.12,4554.98,4377.43,4509.77,139.62,4664.43,4633.08,4484.99,4514.25,,4360.73,4647.51,4609.24,38.27,77.56,38.75,4664.43,109.52,4883.48,4445.39,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-02 20:00:00,4509.77,4509.96,4286.87,4472.14,135.68,4660.7,4617.75,4486.54,4512.6,,4361.84,4620.53,4599.09,21.45,66.34,37.06,4660.7,114.88,4890.47,4430.94,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-03 00:00:00,4508.5,4618.4,4467.88,4569.54,112.57,4662.34,4613.16,4491.79,4514.83,,4363.91,4612.69,4596.9,15.79,56.23,41.15,4662.34,113.25,4888.83,4435.84,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-03 04:00:00,4584.78,4714.76,4584.78,4620.87,119.75,4665.62,4613.89,4498.6,4518.99,,4366.47,4613.95,4598.67,15.27,48.04,43.12,4665.62,110.9,4887.43,4443.82,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-09-03 08:00:00,4610.52,4674.86,4456.8,4486.0,103.21,4660.24,4601.71,4502.36,4517.69,,4367.66,4594.26,4590.33,3.94,39.22,37.01,4660.24,117.02,4894.28,4426.2,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
